published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-11-24,1000.0,1012.9,970.0,992.5,-0.75,10328.0,10273328.9,-1,14
2024-11-21,942.4,1019.9,942.4,1000.0,3.99,32192.0,32005268.1,1,15
2024-11-20,939.3,981.2,939.3,961.6,0.48,5991.0,5736206.4,1,16
2024-11-19,1000.0,1000.0,945.8,957.0,-3.14,13609.0,13092780.1,-1,17
2024-11-17,975.0,1000.0,961.0,988.0,2.92,17027.0,16800596.4,1,18
2024-11-14,959.8,997.0,931.0,960.0,2.02,8220.0,7877367.8,1,19
2024-11-13,955.0,958.0,936.0,941.0,-1.52,4711.0,4440400.3,-1,20
2024-11-12,975.0,988.5,955.0,955.5,-1.39,4434.0,4299402.9,-1,21
2024-11-11,926.1,1006.0,926.1,969.0,2.54,22164.0,21521204.6,1,22
2024-11-10,925.0,948.7,918.0,945.0,2.16,5388.0,5061785.3,1,23
2024-11-06,940.0,942.0,921.1,925.0,-0.43,1861.0,1729224.6,-1,24
2024-11-05,934.9,935.0,916.4,929.0,0.65,1386.0,1279498.5,1,25
2024-10-30,917.0,936.0,917.0,923.0,0.65,3922.0,3640640.9,1,26
2024-10-29,920.0,932.0,907.0,917.0,1.38,4372.0,4039549.7,1,27
2024-10-28,928.0,928.0,901.6,904.5,-0.82,1044.0,945716.6,-1,28
2024-10-27,900.0,912.0,887.1,912.0,1.45,5412.0,4880770.3,1,29
2024-10-24,928.2,928.2,895.1,899.0,-1.21,5550.0,5028378.4,-1,30
2024-10-23,929.2,929.2,902.3,910.0,-0.11,3389.0,3087879.2,-1,31
2024-10-22,890.0,928.2,890.0,911.0,1.22,4327.0,3986650.6,1,32
2024-10-21,923.0,935.0,896.0,900.0,-2.29,4052.0,3694434.2,-1,33
2024-10-20,929.1,945.0,910.6,921.1,-2.84,4596.0,4269169.6,-1,34
2024-10-17,931.0,984.9,931.0,948.0,-0.11,8142.0,7804185.6,-1,35
2024-10-16,925.1,997.0,925.0,949.0,2.26,4572.0,4323193.1,1,36
2024-10-15,910.0,930.0,910.0,928.0,0.43,1154.0,1067099.0,1,37
2024-10-09,918.0,930.0,882.1,924.0,2.67,5232.0,4722342.6,1,38
2024-10-08,923.0,938.0,900.0,900.0,-4.35,4017.0,3656217.4,-1,39
2024-10-07,938.0,970.0,920.3,940.9,2.27,8275.0,7812507.8,1,40
2024-10-06,875.5,936.0,855.1,920.0,3.5,4818.0,4357092.0,1,41
2024-10-02,902.0,915.0,880.0,888.9,-1.23,5011.0,4477508.9,-1,42
2024-10-01,875.0,900.0,871.0,900.0,3.33,6254.0,5536223.7,1,43
2024-09-30,835.0,871.0,835.0,871.0,2.23,2664.0,2292602.4,1,44
2024-09-29,864.7,870.0,826.0,852.0,0.47,4507.0,3821529.1,1,45
2024-09-26,865.0,868.0,848.0,848.0,-1.97,5938.0,5095342.8,-1,46
2024-09-25,850.0,870.0,842.0,865.0,1.17,8222.0,7012375.4,1,47
2024-09-24,890.0,890.0,852.0,855.0,-3.12,7027.0,6067317.6,-1,48
2024-09-23,895.0,905.0,882.0,882.5,-2.49,5095.0,4533806.0,-1,49
2024-09-22,929.0,929.3,897.1,905.0,-0.67,5225.0,4740978.5,-1,50
2024-09-18,941.0,941.0,905.0,911.1,-1.29,6661.0,6116071.3,-1,51
2024-09-16,941.0,955.0,922.0,923.0,-3.65,8147.0,7567854.5,-1,52
2024-09-15,985.0,993.0,951.0,958.0,-2.24,6701.0,6508706.6,-1,53
2024-09-12,971.0,986.0,957.1,980.0,0.51,9452.0,9180184.3,1,54
2024-09-11,967.3,980.0,958.0,975.0,0.8,10305.0,9963993.4,1,55
2024-09-10,1004.0,1004.0,967.0,967.3,-2.19,6374.0,6230517.7,-1,56
2024-09-09,1029.0,1029.0,980.0,989.0,-1.98,8917.0,8814866.7,-1,57
2024-09-08,1011.8,1073.0,1000.0,1009.0,1.71,22487.0,22967470.0,1,58
2024-09-05,973.0,1023.0,968.0,992.0,0.2,14160.0,13928195.1,1,59
2024-09-04,1012.0,1072.0,983.0,990.0,-2.94,21344.0,21727368.3,-1,60
2024-09-03,956.0,1049.0,955.0,1020.0,6.86,19965.0,20173175.9,1,61
2024-09-02,926.4,954.5,916.0,954.5,3.03,14912.0,13987096.9,1,62
2024-09-01,986.3,988.0,926.4,926.4,-4.2,12163.0,11640812.1,-1,63
2024-08-29,956.5,1003.0,945.7,967.0,0.21,12183.0,11770441.5,1,64
2024-08-28,1019.8,1020.0,965.0,965.0,-3.49,13394.0,13336151.8,-1,65
2024-08-27,1024.1,1060.0,998.0,999.9,-3.86,20466.0,20877894.5,-1,66
2024-08-25,1056.5,1115.0,1025.0,1040.0,-3.53,27092.0,28754854.9,-1,67
2024-08-22,1120.0,1120.0,1064.0,1078.0,-1.91,36931.0,39950977.7,-1,68
2024-08-21,1185.9,1278.9,1090.0,1099.0,-5.48,142108.0,168408173.5,-1,69
2024-08-18,1078.1,1162.7,1078.1,1162.7,10.0,5314.0,6175193.8,1,70
