published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-10-22,308.30,308.30,308.30,308.30,-1.97,10.00,3083.00,-1,1
2024-10-16,320.90,320.90,314.50,314.50,-3.94,20.00,6354.00,-1,2
2024-10-09,327.40,327.40,327.40,327.40,-1.98,300.00,98220.00,-1,3
2024-08-05,334.00,334.00,334.00,334.00,0.00,2000.00,668000.00,0,4
2023-06-18,217.00,217.00,217.00,217.00,0.00,20000.00,4340000.00,0,5
2023-05-02,217.00,217.00,217.00,217.00,0.00,28000.00,6076000.00,0,6
2023-04-27,217.00,217.00,217.00,217.00,0.00,18000.00,3906000.00,0,7
2023-01-31,202.00,202.00,202.00,202.00,0.00,22814.00,4608428.00,0,8
2022-12-04,202.00,202.00,202.00,202.00,0.00,75335.00,15217670.00,0,9
2022-12-01,202.00,202.00,202.00,202.00,0.00,20165.00,4073330.00,0,10
2022-06-10,229.00,229.00,229.00,229.00,0.00,200.00,45800.00,0,11
2022-03-10,274.00,274.00,274.00,274.00,0.00,17286.00,4736364.00,0,12
