published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-12-08,1103.60,1103.60,1103.60,1103.60,0.33,25.00,27590.00,1,1
2024-11-17,1100.00,1100.00,1100.00,1100.00,0.00,25.00,27500.00,0,2
2024-11-12,1100.00,1100.00,1100.00,1100.00,0.00,25.00,27500.00,0,3
2024-11-10,1100.00,1100.00,1100.00,1100.00,-1.79,25.00,27500.00,-1,4
2024-10-29,1120.00,1120.00,1120.00,1120.00,0.00,25.00,28000.00,0,5
2024-09-29,1120.00,1120.00,1120.00,1120.00,-0.36,25.00,28000.00,-1,6
2024-09-12,1124.00,1124.00,1124.00,1124.00,2.00,30.00,33720.00,1,7
2024-09-11,1102.70,1102.80,1102.00,1102.00,1.92,45.00,49605.00,1,8
2024-09-10,1081.20,1081.20,1081.20,1081.20,2.00,80.00,86496.00,1,9
2024-09-03,1060.00,1060.00,1060.00,1060.00,0.84,30.00,31800.00,1,10
2024-09-01,1051.20,1051.20,1051.20,1051.20,-1.11,25.00,26280.00,-1,11
2024-08-22,1063.00,1063.00,1063.00,1063.00,1.05,100.00,106300.00,1,12
2024-08-15,1052.00,1052.00,1052.00,1052.00,0.00,50.00,52600.00,0,13
2024-08-14,1052.00,1052.00,1052.00,1052.00,-0.94,25.00,26300.00,-1,14
2024-08-12,1050.00,1062.00,1050.00,1062.00,1.53,150.00,157800.00,1,15
2024-08-11,1049.00,1049.00,1046.00,1046.00,-0.85,100.00,104750.00,-1,16
2024-08-05,1055.00,1055.00,1055.00,1055.00,0.00,25.00,26375.00,0,17
2024-08-01,1055.00,1055.00,1055.00,1055.00,0.53,25.00,26375.00,1,18
2024-07-31,1050.00,1050.00,1049.40,1049.40,-0.44,50.00,52486.50,-1,19
2024-07-30,1054.00,1054.00,1054.00,1054.00,-1.95,25.00,26350.00,-1,20
2024-07-11,1070.20,1075.00,1070.20,1075.00,0.55,50.00,53630.00,1,21
2024-07-10,1069.10,1069.10,1069.10,1069.10,0.34,25.00,26727.50,1,22
2024-07-09,1065.50,1065.50,1065.50,1065.50,0.22,25.00,26637.50,1,23
2024-07-07,1063.20,1063.20,1063.20,1063.20,-0.27,25.00,26580.00,-1,24
2024-07-03,1066.10,1066.10,1066.10,1066.10,0.58,25.00,26652.50,1,25
2024-06-27,1040.40,1060.00,1040.40,1060.00,3.92,50.00,52510.00,1,26
2024-06-24,1000.00,1020.00,1000.00,1020.00,2.00,75.00,75500.00,1,27
