published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2024-05-20,1045.00,1045.00,1045.00,1045.00,0.00,25.00,26125.00,0,22
2024-05-16,1030.20,1045.00,1030.20,1045.00,3.47,100.00,103632.50,1,23
2024-04-15,1010.00,1010.00,1010.00,1010.00,1.00,25.00,25250.00,1,24
2024-03-31,1018.30,1018.30,1000.00,1000.00,-3.75,20025.00,20025183.00,-1,25
2024-03-27,1039.00,1039.00,1039.00,1039.00,1.97,32.00,33248.00,1,26
2024-03-21,1018.90,1018.90,1018.90,1018.90,1.99,50.00,50945.00,1,27
2024-03-10,999.00,999.00,999.00,999.00,-0.11,10.00,9990.00,-1,28
2024-03-06,1000.10,1000.10,1000.10,1000.10,-0.09,500.00,500050.00,-1,29
2024-02-28,1001.00,1001.00,1001.00,1001.00,0.09,20.00,20020.00,1,30
2024-02-27,1000.10,1000.10,1000.10,1000.10,0.01,25.00,25002.50,1,31
2024-02-25,1000.00,1000.00,1000.00,1000.00,-0.50,100.00,100000.00,-1,32
2024-02-22,1002.10,1005.00,1002.10,1005.00,0.49,410.00,410890.00,1,33
2024-02-21,1000.10,1000.10,1000.10,1000.10,-1.95,25.00,25002.50,-1,34
2024-02-12,1020.00,1020.00,1020.00,1020.00,1.80,100.00,102000.00,1,35
2024-02-08,1002.00,1002.00,1002.00,1002.00,0.20,10.00,10020.00,1,36
2024-02-06,1000.00,1000.00,1000.00,1000.00,0.90,20.00,20000.00,1,37
2024-01-31,991.10,991.10,991.10,991.10,-1.83,25.00,24777.50,-1,38
2024-01-23,1009.60,1009.60,1009.60,1009.60,-2.00,30.00,30288.00,-1,39
2024-01-11,1010.00,1030.20,1010.00,1030.20,3.06,30.00,30502.00,1,40
2024-01-10,980.00,999.60,980.00,999.60,2.51,130.00,127988.00,1,41
2024-01-09,975.20,975.20,975.10,975.10,-0.52,50.00,48757.70,-1,42
2024-01-04,980.20,980.20,980.20,980.20,-0.99,50.00,49010.00,-1,43
2023-12-28,990.00,990.00,990.00,990.00,0.00,70.00,69300.00,0,44
2023-12-27,990.00,990.00,990.00,990.00,-1.98,25.00,24750.00,-1,45
2023-12-19,990.00,1010.00,990.00,1010.00,-1.94,49912.00,49413080.00,-1,46
2023-12-06,1030.00,1030.00,1030.00,1030.00,-1.95,20.00,20600.00,-1,47
2023-12-05,1050.50,1050.50,1050.50,1050.50,-2.00,10.00,10505.00,-1,48
2023-12-04,1093.70,1093.70,1071.90,1071.90,-3.95,60.00,65404.00,-1,49
2023-07-16,1023.00,1116.00,1023.00,1116.00,9.41,348.00,365450.50,1,50
2023-07-12,974.60,1020.00,974.60,1020.00,6.75,130.00,129886.00,1,51
2023-07-11,955.50,955.50,955.50,955.50,2.00,10.00,9555.00,1,52
2023-07-09,918.50,936.80,918.50,936.80,4.03,20.00,18553.00,1,53
2023-07-03,900.50,900.50,900.50,900.50,-0.77,25.00,22512.50,-1,54
2023-06-27,907.50,907.50,907.50,907.50,0.00,50.00,45375.00,0,55
2023-06-26,921.00,921.00,907.50,907.50,-1.25,45.00,41265.00,-1,56
2023-06-12,918.10,919.00,918.10,919.00,2.10,65.00,59703.50,1,57
2023-06-06,900.20,900.20,900.10,900.10,-1.09,40.00,36006.70,-1,58
2023-05-15,910.00,910.00,910.00,910.00,-0.55,25.00,22750.00,-1,59
2023-05-02,915.10,915.10,915.00,915.00,-1.82,25.00,22876.20,-1,60
2023-04-20,932.00,932.00,932.00,932.00,-0.85,130.00,121160.00,-1,61
2023-04-18,937.00,940.00,937.00,940.00,-1.67,70.00,65710.00,-1,62
2023-04-17,975.00,975.00,956.00,956.00,-2.45,28.00,26958.00,-1,63
2023-04-16,980.00,980.00,980.00,980.00,-1.90,10.00,9800.00,-1,64
2023-04-11,999.00,999.00,999.00,999.00,-1.65,500.00,499500.00,-1,65
2023-04-09,1079.10,1079.10,1015.80,1015.80,-7.75,60.00,62624.00,-1,66
2022-08-29,1101.10,1101.10,1101.10,1101.10,1.99,25.00,27527.50,1,67
2022-08-25,1037.40,1079.60,1037.40,1079.60,1.99,75.00,79915.00,1,68
2022-07-15,981.50,1058.50,981.50,1058.50,10.00,65.00,66647.00,1,69
2022-07-04,962.30,962.30,962.30,962.30,1.99,20.00,19246.00,1,70
2022-04-18,943.50,943.50,943.50,943.50,0.22,25.00,23587.50,1,71
2022-04-12,960.40,960.40,941.40,941.40,-3.94,100.00,95565.00,-1,72
2022-03-16,980.00,980.00,980.00,980.00,-2.00,300.00,294000.00,-1,73
2022-01-23,1000.00,1000.00,1000.00,1000.00,-0.45,100.00,100000.00,-1,74
2022-01-16,1004.50,1004.50,1004.50,1004.50,-2.00,25.00,25112.50,-1,75
2022-01-13,1025.00,1025.00,1025.00,1025.00,0.39,30.00,30750.00,1,76
2022-01-06,1021.00,1021.00,1021.00,1021.00,-1.83,25.00,25525.00,-1,77
2022-01-04,1040.00,1040.00,1040.00,1040.00,0.00,50.00,52000.00,0,78
2022-01-02,1040.00,1040.00,1040.00,1040.00,1.96,25.00,26000.00,1,79
2021-12-15,1020.00,1020.00,1020.00,1020.00,-1.35,65.00,66300.00,-1,80
2021-12-13,1034.00,1034.00,1034.00,1034.00,-1.99,10.00,10340.00,-1,81
2021-11-24,1054.00,1055.00,1054.00,1055.00,0.00,55.00,57995.00,0,82
2021-11-15,1055.00,1055.00,1055.00,1055.00,-1.95,50.00,52750.00,-1,83
2021-09-26,1076.00,1076.00,1076.00,1076.00,0.08,75.00,80700.00,1,84
2021-08-09,1096.68,1097.00,1075.10,1075.10,-3.92,200.00,216221.30,-1,85
2021-07-15,1098.00,1119.00,1098.00,1119.00,3.90,20.00,22170.00,1,86
2021-07-07,1077.00,1077.00,1077.00,1077.00,1.99,10.00,10770.00,1,87
2021-07-04,1094.00,1094.00,1056.00,1056.00,-5.38,75.00,79835.00,-1,88
2021-07-01,1116.00,1116.00,1116.00,1116.00,0.00,10.00,11160.00,0,89
2021-06-27,1116.00,1116.00,1116.00,1116.00,1.92,820.00,915120.00,1,90
2021-06-23,1095.00,1095.00,1095.00,1095.00,0.92,240.00,262800.00,1,91
2021-06-22,1082.00,1085.00,1082.00,1085.00,0.28,225.00,243525.00,1,92
2021-06-20,1071.00,1082.00,1071.00,1082.00,1.98,75.00,80600.00,1,93
2021-06-10,1061.00,1061.00,1061.00,1061.00,0.00,25.00,26525.00,0,94
2021-06-09,1061.00,1061.00,1061.00,1061.00,-0.38,100.00,106100.00,-1,95
2021-06-08,1065.00,1065.00,1065.00,1065.00,0.66,525.00,559125.00,1,96
2021-06-07,1058.00,1058.00,1058.00,1058.00,-0.19,25.00,26450.00,-1,97
